date,amount_out,amount_in,category,type,name,note
03.02.2023,3.90,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
03.02.2023,8.00,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
03.02.2023,25.00,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
03.02.2023,5.50,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
04.02.2023,19.00,,Voyages,Transports,"Engelberg (Embotech ski event, Feb 2023)",
04.02.2023,50.00,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
05.02.2023,8.80,,Voyages,Nourriture,"Engelberg (Embotech ski event, Feb 2023)",
05.02.2023,330.08,,Voyages,Activités,Algarve (July 2023),"Festival Rolling Loud, 2% de frais (paiement carte débit)"
05.02.2023,207.47,,Voyages,Billets d'avion,Valencia (March 2023),2% de frais (paiement carte débit)
06.02.2023,8.50,,Abonnements,Spotify,,
06.02.2023,2.05,,Nourriture,Petit déjeuner,,
06.02.2023,7.90,,Nourriture,Lunch,,
06.02.2023,24.90,,Dépenses persos,Achats,,Livre
06.02.2023,27.90,,Nourriture,Restaurant,,
06.02.2023,2.90,,Nourriture,Snack,,
07.02.2023,13.70,,Transports,Billets de train,,
07.02.2023,10.55,,Nourriture,Lunch,,
08.02.2023,13.70,,Transports,Billets de train,,
08.02.2023,2.05,,Nourriture,Petit déjeuner,,
08.02.2023,,85.00,Sport,Autres,,Remboursement 1 paire de chaussures de sport
08.02.2023,14.90,,Nourriture,Lunch,,
08.02.2023,46.80,,Nourriture,Restaurant,,
09.02.2023,5.20,,Nourriture,Petit déjeuner,,
09.02.2023,32.40,,Nourriture,Courses,,
10.02.2023,27.40,,Transports,Billets de train,,
10.02.2023,,50.00,Frais professionnels,Hotels,"Detroit CW 2, 2023",Caution hotel
10.02.2023,,700.00,Autres frais variables,Cadeaux (à d'autres gens),,Remboursement en partie du cadeau de mariage de Maman
10.02.2023,9.90,,Nourriture,Lunch,,
